host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
电商,2025-06-02,1142467.5,6854805,6,0.0036063636473994565,588.0,261.0,11657.831632653062,26263.620689655174
电影,2025-06-02,654530.2857142857,9163424,14,0.004820945190900065,588.0,261.0,15584.054421768707,35108.904214559385
电影-华语电影,2025-06-02,148244.0,148244,1,7.799226565089525e-05,588.0,261.0,252.1156462585034,567.9846743295019
电影-日本电影,2025-06-02,213111.0,213111,1,0.00011211927447402889,588.0,261.0,362.43367346938777,816.5172413793103
电视剧,2025-06-02,304236.8256880734,33161814,109,0.017446675797695536,588.0,261.0,56397.642857142855,127056.75862068965
电视剧-国产剧,2025-06-02,354367.67307692306,18427119,52,0.009694643697071445,588.0,261.0,31338.63775510204,70601.98850574713
直播,2025-06-02,514399.0,514399,1,0.00027062912130376184,588.0,261.0,874.828231292517,1970.8773946360154
社会,2025-06-02,452334.8487179487,529231773,1170,0.2784327529661254,588.0,261.0,900054.0357142857,2027707.9425287356
科技,2025-06-02,1201163.75,4804655,4,0.00252776455789713,588.0,261.0,8171.181972789115,18408.639846743295
科普,2025-06-02,231309.32142857142,6476661,28,0.003407419290108152,588.0,261.0,11014.729591836734,24814.793103448275
综艺,2025-06-02,388883.6886227545,64943576,167,0.03416729602352274,588.0,261.0,110448.25850340136,248825.96168582374
综艺-内地综艺,2025-06-02,624304.3783783783,23099262,37,0.01215269271096051,588.0,261.0,39284.45918367347,88502.91954022988
美食,2025-06-02,4375491.0,30628437,7,0.01611384740681383,588.0,261.0,52089.17857142857,117350.33333333333
职场,2025-06-02,413254.0,413254,1,0.00021741598816339997,588.0,261.0,702.8129251700681,1583.3486590038315
萌宠,2025-06-02,187738.0,187738,1,9.877035137184489e-05,588.0,261.0,319.28231292517006,719.3026819923372
读书,2025-06-02,388842.2,1944211,5,0.0010228637974784322,588.0,261.0,3306.4812925170068,7449.08429118774
财经,2025-06-02,606074.8222222222,27273367,45,0.014348720246744287,588.0,261.0,46383.27721088436,104495.65900383142
财经-产业公司,2025-06-02,513029.5,1026059,2,0.0005398172344343914,588.0,261.0,1744.998299319728,3931.2605363984676
运动健身,2025-06-02,482114.5,964229,2,0.0005072880137900831,588.0,261.0,1639.845238095238,3694.3639846743295
音乐,2025-06-02,271950.9583333333,6526823,24,0.0034338098895899537,588.0,261.0,11100.03911564626,25006.984674329502
音乐-华语音乐,2025-06-02,525943.4285714285,7363208,14,0.003873838228722897,588.0,261.0,12522.462585034014,28211.52490421456
音乐-日韩音乐,2025-06-02,475971.3333333333,1427914,3,0.0007512361243263299,588.0,261.0,2428.425170068027,5470.934865900384
IT技术,2025-06-09,71327.0,71327,1,3.472875300446658e-05,588.0,261.0,121.30442176870748,273.2835249042146
互联网,2025-06-09,468725.10714285716,13124303,28,0.006390156283634244,588.0,261.0,22320.243197278913,50284.685823754786
体育,2025-06-09,315253.24155844154,121372498,385,0.059095651079915226,588.0,261.0,206415.81292517006,465028.72796934866
健康,2025-06-09,453480.0,906960,2,0.0004415942045078442,588.0,261.0,1542.4489795918366,3474.942528735632
健康-医疗,2025-06-09,1512169.6,7560848,5,0.0036813383809260886,588.0,261.0,12858.585034013606,28968.766283524903
公益,2025-06-09,1032358.0,4129432,4,0.0020105994080325883,588.0,261.0,7022.843537414966,15821.578544061304
其他,2025-06-09,348376.6800479329,581440679,1669,0.2831005051066263,588.0,261.0,988844.6921768708,2227742.0651340997
军事,2025-06-09,184476.5,1106859,6,0.0005389240094462247,588.0,261.0,1882.4132653061224,4240.83908045977
动漫,2025-06-09,238268.35294117648,4050562,17,0.001972198006747489,588.0,261.0,6888.710884353742,15519.394636015326
动漫-其他,2025-06-09,167805.0,167805,1,8.170339980532636e-05,588.0,261.0,285.3826530612245,642.9310344827586
动漫-国产动漫,2025-06-09,225755.0,903020,4,0.0004396758385757624,588.0,261.0,1535.748299319728,3459.846743295019
