week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-03-18,明星-其他 (非官媒),明星-其他,0,118,2,59.0,0.0003025191125422373
2024-03-18,明星-内地 (官媒),明星-内地,1,796,4,199.0,0.0020407221490137363
2024-03-18,明星-内地 (非官媒),明星-内地,0,16414,103,159.35922330097088,0.04208092129888376
2024-03-18,明星-日韩 (非官媒),明星-日韩,0,1299,12,108.25,0.003330273959257341
2024-03-18,明星-港台 (非官媒),明星-港台,0,1075,5,215.0,0.0027560003896856364
2024-03-18,星座 (非官媒),星座,0,390,4,97.5,0.0009998513041650217
2024-03-18,校园 (非官媒),校园,0,995,9,110.55555555555556,0.0025509026862671706
2024-03-18,汽车 (官媒),汽车,1,275,1,275.0,0.0007050233555009768
2024-03-18,汽车 (非官媒),汽车,0,1135,9,126.11111111111111,0.002909823667249486
2024-03-18,游戏 (非官媒),游戏,0,10491,154,68.12337662337663,0.02689600008203908
2024-03-18,电商 (非官媒),电商,0,53,1,53.0,0.0001358772285147337
2024-03-18,电影 (官媒),电影,1,1893,10,189.3,0.004853124407139451
2024-03-18,电影 (非官媒),电影,0,3218,23,139.91304347826087,0.008250055120007795
2024-03-18,电影-华语电影 (非官媒),电影-华语电影,0,152,2,76.0,0.00038968563649508534
2024-03-18,电影-美国电影 (非官媒),电影-美国电影,0,467,2,233.5,0.001197257843705295
2024-03-18,电视剧 (官媒),电视剧,1,100,2,50.0,0.00025637212927308246
2024-03-18,电视剧 (非官媒),电视剧,0,24918,159,156.71698113207546,0.06388280717226669
2024-03-18,电视剧-国产剧 (非官媒),电视剧-国产剧,0,10762,57,188.80701754385964,0.027590768552369135
2024-03-18,社会 (官媒),社会,1,43393,285,152.2561403508772,0.11124755805546867
2024-03-18,社会 (非官媒),社会,0,63421,317,200.06624605678235,0.16259376810628162
2024-03-18,科技 (非官媒),科技,0,618,6,103.0,0.0015843797589076497
2024-03-18,科普 (官媒),科普,1,4732,21,225.33333333333334,0.012131529157202262
2024-03-18,科普 (非官媒),科普,0,193,1,193.0,0.0004947982094970491
2024-03-18,综艺 (官媒),综艺,1,5901,33,178.8181818181818,0.015128519348404597
2024-03-18,综艺 (非官媒),综艺,0,10263,82,125.15853658536585,0.026311471627296454
2024-03-18,综艺-内地综艺 (官媒),综艺-内地综艺,1,1050,4,262.5,0.002691907357367366
2024-03-18,综艺-内地综艺 (非官媒),综艺-内地综艺,0,3784,20,189.2,0.00970112137169344
2024-03-18,美妆 (非官媒),美妆,0,124,2,62.0,0.00031790144029862226
2024-03-18,美食 (非官媒),美食,0,207,5,41.4,0.0005306903075952807
2024-03-18,职场 (官媒),职场,1,64,1,64.0,0.00016407816273477277
2024-03-18,职场 (非官媒),职场,0,56,2,28.0,0.00014356839239292618
2024-03-18,艺术-戏剧 (官媒),艺术-戏剧,1,418,1,418.0,0.0010716355003614847
2024-03-18,萌宠 (非官媒),萌宠,0,1277,8,159.625,0.003273872090817263
2024-03-18,读书 (非官媒),读书,0,312,3,104.0,0.0007998810433320172
2024-03-18,财经 (官媒),财经,1,2269,15,151.26666666666668,0.005817083613206241
2024-03-18,财经 (非官媒),财经,0,7391,48,153.97916666666666,0.018948464074573526
2024-03-18,运动健身 (非官媒),运动健身,0,77,2,38.5,0.0001974065395402735
2024-03-18,音乐 (非官媒),音乐,0,4964,42,118.19047619047619,0.012726312497115814
2024-03-18,音乐-华语音乐 (非官媒),音乐-华语音乐,0,532,8,66.5,0.0013638997277327987
2024-03-18,音乐-日韩音乐 (非官媒),音乐-日韩音乐,0,622,4,155.5,0.001594634644078573
2024-03-25,互联网 (官媒),互联网,1,735,3,245.0,0.0019120508631543898
2024-03-25,互联网 (非官媒),互联网,0,8128,41,198.2439024390244,0.021144420973767182
2024-03-25,体育 (官媒),体育,1,2392,18,132.88888888888889,0.006222619951925579
2024-03-25,体育 (非官媒),体育,0,28134,227,123.93832599118943,0.07318862446800761
2024-03-25,健康 (官媒),健康,1,200,4,50.0,0.0005202859491576571
2024-03-25,健康 (非官媒),健康,0,19,1,19.0,4.942716516997742e-05
