week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-08-05,汽车,730,8,91.25,0.001913268649127497
2024-08-05,游戏,4928,87,56.64367816091954,0.01291587383958946
2024-08-05,生活记录,236,3,78.66666666666667,0.0006185361660193005
2024-08-05,电影,4268,35,121.94285714285714,0.011186069307501585
2024-08-05,电影-华语电影,301,3,100.33333333333333,0.000788895703270379
2024-08-05,电影-日本电影,79,1,79.0,0.00020705236065900312
2024-08-05,电影-美国电影,246,1,246.0,0.0006447453255963894
2024-08-05,电视剧,11346,88,128.9318181818182,0.02973691245616518
2024-08-05,电视剧-国产剧,9251,77,120.14285714285714,0.024246093524765033
2024-08-05,社会,106656,928,114.93103448275862,0.27953641238540045
2024-08-05,科技,835,10,83.5,0.002188464824686932
2024-08-05,科普,851,11,77.36363636363636,0.002230399480010274
2024-08-05,综艺,8669,73,118.75342465753425,0.022720720437378456
2024-08-05,综艺-内地综艺,3365,31,108.54838709677419,0.00881938219769045
2024-08-05,美图,179,2,89.5,0.0004691439564298931
2024-08-05,美妆,252,3,84.0,0.0006604708213426428
2024-08-05,美食,167,4,41.75,0.00043769296493738634
2024-08-05,萌宠,39,1,39.0,0.00010221572235064711
2024-08-05,读书,274,2,137.0,0.0007181309724122386
2024-08-05,财经,5827,50,116.54,0.01527207728556976
2024-08-05,运动健身,36,1,36.0,9.43529744775204e-05
2024-08-05,音乐,4648,38,122.3157894736842,0.012182017371430967
2024-08-05,音乐-华语音乐,143,3,47.666666666666664,0.0003747909819523727
2024-08-05,音乐-日韩音乐,3065,14,218.92857142857142,0.008033107410377778
2024-08-12,互联网,899,7,128.42857142857142,0.0023217075784770736
2024-08-12,体育,40676,248,164.01612903225808,0.10504758338390817
2024-08-12,健康,11,1,11.0,2.840799039293416e-05
2024-08-12,健康-医疗,107,1,107.0,0.0002763322701858141
2024-08-12,公益,266,1,266.0,0.0006869568585927715
2024-08-12,其他,1660,21,79.04761904761905,0.0042870240047518824
2024-08-12,军事,1198,11,108.9090909090909,0.0030938884082486475
2024-08-12,动漫,768,12,64.0,0.001983394238343039
2024-08-12,动漫-国产动漫,30,1,30.0,7.747633743527498e-05
2024-08-12,动漫-日本动漫,307,1,307.0,0.0007928411864209806
2024-08-12,历史,263,2,131.5,0.000679209224849244
2024-08-12,情感,8441,62,136.1451612903226,0.021799258809705204
2024-08-12,搞笑,14434,101,142.9108910891089,0.037276448484691964
2024-08-12,数码,406,4,101.5,0.0010485130999573881
2024-08-12,旅游,31,2,15.5,8.005888201645081e-05
2024-08-12,时事,23797,158,150.6139240506329,0.061456813398241286
2024-08-12,时尚,605,7,86.42857142857143,0.0015624394716113787
2024-08-12,明星,42500,266,159.77443609022558,0.10975814469997289
2024-08-12,明星-其他,622,3,207.33333333333334,0.0016063427294913679
2024-08-12,明星-内地,18505,112,165.22321428571428,0.047789987474658784
2024-08-12,明星-日韩,802,7,114.57142857142857,0.002071200754103018
2024-08-12,明星-港台,914,5,182.8,0.002360445747194711
2024-08-12,星座,442,6,73.66666666666667,0.001141484704879718
2024-08-12,校园,25,1,25.0,6.456361452939582e-05
2024-08-12,汽车,1421,17,83.58823529411765,0.003669795849850858
2024-08-12,游戏,6795,122,55.69672131147541,0.01754839042908978
2024-08-12,电商,89,1,89.0,0.0002298464677246491
2024-08-12,电影,4642,32,145.0625,0.011988171945818214
2024-08-12,电影-华语电影,562,7,80.28571428571429,0.001451390054620818
